game_id,date,season,status,home_team_id,away_team_id,home_team_name,away_team_name,home_runs,away_runs,runs_diff,winner,home_days_since_last_game,away_days_since_last_game,home_win_streak,away_win_streak,spread_home,odd_home_american,odd_home_decimal,odd_sign_home,spread_away,odd_away_american,odd_away_decimal,odd_sign_away,predicted_winner,model_prob_home,model_prob_away,predicted_diff,diff_vs_line_home,diff_vs_line_away,implied_prob_home,implied_prob_away,edge_home,edge_away,ev_home,ev_away,cover_streak_home_10,cover_streak_away_10,cover_team,predicted_cover,prob_cover_away,prob_cover_home,stake,profit
6123,2025-04-09,2025,STATUS_FINAL,5,28,Chicago Cubs,Texas Rangers,2.0000000000,6.0000000000,4.0000000000,0,1,1,2,0,-1.5000000000,140,2.4000000000,1,1.5000000000,-175,1.5714285714,0,1,0.5110247696,0.4889752304,3.6535620026,2.1535620026,5.1535620026,0.4166666667,0.6363636364,0.0943581030,-0.1473884060,0.2264594471,-0.2316103523,4,3,0,0,0.6116595401,0.3883404599,20000.0000000000,11428.5714285714
6127,2025-04-09,2025,STATUS_FINAL,25,11,Seattle Mariners,Houston Astros,7.0000000000,6.0000000000,1.0000000000,1,1,1,0,1,1.5000000000,-154,1.6493506494,0,-1.5000000000,140,2.4000000000,1,1,0.5382700421,0.4617299579,3.0545178288,4.5545178288,1.5545178288,0.6062992126,0.4166666667,-0.0680291705,0.0450632912,-0.1122039566,0.1081518990,1,0,1,1,0.4020562493,0.5979437507,20000.0000000000,12987.0129870130
6125,2025-04-09,2025,STATUS_FINAL,1,3,Arizona Diamondbacks,Baltimore Orioles,9.0000000000,0.0000000000,9.0000000000,1,1,1,1,0,-1.5000000000,162,2.6200000000,1,1.5000000000,-178,1.5617977528,0,0,0.4976865318,0.5023134682,3.8540626029,2.3540626029,5.3540626029,0.3816793893,0.6402877698,0.1160071425,-0.1379743016,0.3039387134,-0.2154879542,2,1,1,0,0.6064189409,0.3935810591,20000.0000000000,-20000.0000000000
7071,2025-04-11,2025,STATUS_FINAL,27,2,Tampa Bay Rays,Atlanta Braves,6.0000000000,3.0000000000,3.0000000000,1,1,1,1,1,-1.5000000000,146,2.4600000000,1,1.5000000000,-161,1.6211180124,0,0,0.4758998559,0.5241001441,3.3933694399,1.8933694399,4.8933694399,0.4065040650,0.6168582375,0.0693957908,-0.0927580934,0.1707136454,-0.1503718160,3,3,1,0,0.6118631985,0.3881368015,20000.0000000000,-20000.0000000000
7073,2025-04-11,2025,STATUS_FINAL,7,22,Cincinnati Reds,Pittsburgh Pirates,5.0000000000,3.0000000000,2.0000000000,1,2,2,0,1,-1.5000000000,132,2.3200000000,1,1.5000000000,-159,1.6289308176,0,1,0.5208472425,0.4791527575,3.5737976443,2.0737976443,5.0737976443,0.4310344828,0.6138996139,0.0898127598,-0.1347468564,0.2083656027,-0.2194933070,2,3,1,0,0.6025865481,0.3974134519,20000.0000000000,-20000.0000000000
7083,2025-04-11,2025,STATUS_FINAL,1,16,Arizona Diamondbacks,Milwaukee Brewers,0.0000000000,7.0000000000,7.0000000000,0,2,1,2,0,-1.5000000000,125,2.2500000000,1,1.5000000000,-145,1.6896551724,0,0,0.4435222087,0.5564777913,3.6322219258,2.1322219258,5.1322219258,0.4444444444,0.5918367347,-0.0009222358,-0.0353589434,-0.0020750305,-0.0597444215,2,2,0,0,0.6051768134,0.3948231866,20000.0000000000,13793.1034482759
7343,2025-04-12,2025,STATUS_FINAL,27,2,Tampa Bay Rays,Atlanta Braves,4.0000000000,5.0000000000,1.0000000000,0,1,1,2,0,-1.5000000000,151,2.5100000000,1,1.5000000000,-166,1.6024096386,0,0,0.4628710371,0.5371289629,3.3849608866,1.8849608866,4.8849608866,0.3984063745,0.6240601504,0.0644646626,-0.0869311875,0.1618063031,-0.1392993727,4,3,0,0,0.6189457420,0.3810542580,20000.0000000000,12048.1927710843
7345,2025-04-12,2025,STATUS_FINAL,7,22,Cincinnati Reds,Pittsburgh Pirates,5.0000000000,2.0000000000,3.0000000000,1,1,1,1,0,-1.5000000000,170,2.7000000000,1,1.5000000000,-187,1.5347593583,0,1,0.5058931745,0.4941068255,3.6090036338,2.1090036338,5.1090036338,0.3703703704,0.6515679443,0.1355228041,-0.1574611188,0.3659115712,-0.2416649256,2,3,1,0,0.6179861887,0.3820138113,20000.0000000000,-20000.0000000000
7348,2025-04-12,2025,STATUS_FINAL,15,30,Miami Marlins,Washington Nationals,7.0000000000,6.0000000000,1.0000000000,1,1,1,0,1,-1.5000000000,135,2.3500000000,1,1.5000000000,-155,1.6451612903,0,0,0.4780648795,0.5219351205,3.3579904054,1.8579904054,4.8579904054,0.4255319149,0.6078431373,0.0525329646,-0.0859080167,0.1234524667,-0.1413325436,3,5,0,0,0.6210347379,0.3789652621,20000.0000000000,12903.2258064516
7585,2025-04-13,2025,STATUS_FINAL,3,29,Baltimore Orioles,Toronto Blue Jays,6.0000000000,7.0000000000,1.0000000000,0,1,1,1,0,-1.5000000000,154,2.5400000000,1,1.5000000000,-170,1.5882352941,0,0,0.4932580410,0.5067419590,3.6141331476,2.1141331476,5.1141331476,0.3937007874,0.6296296296,0.0995572536,-0.1228876707,0.2528754242,-0.1951745357,2,2,0,0,0.6136687270,0.3863312730,20000.0000000000,11764.7058823529
7697,2025-04-14,2025,STATUS_FINAL,23,5,San Diego Padres,Chicago Cubs,10.0000000000,4.0000000000,6.0000000000,1,1,1,4,2,-1.5000000000,146,2.4600000000,1,1.5000000000,-161,1.6211180124,0,1,0.5071521764,0.4928478236,3.7642021063,2.2642021063,5.2642021063,0.4065040650,0.6168582375,0.1006481113,-0.1240104139,0.2475943538,-0.2010355157,4,4,1,0,0.5962786221,0.4037213779,20000.0000000000,-20000.0000000000
8111,2025-04-15,2025,STATUS_FINAL,3,8,Baltimore Orioles,Cleveland Guardians,3.0000000000,6.0000000000,3.0000000000,0,2,2,0,0,-1.5000000000,144,2.4400000000,1,1.5000000000,-159,1.6289308176,0,1,0.5063058291,0.4936941709,3.4646729196,1.9646729196,4.9646729196,0.4098360656,0.6138996139,0.0964697635,-0.1202054430,0.2353862229,-0.1958063505,1,3,0,0,0.6089598911,0.3910401089,20000.0000000000,12578.6163522013
8117,2025-04-15,2025,STATUS_FINAL,16,10,Milwaukee Brewers,Detroit Tigers,5.0000000000,0.0000000000,5.0000000000,1,1,1,0,1,1.5000000000,-163,1.6134969325,0,-1.5000000000,148,2.4800000000,1,1,0.5543001385,0.4456998615,3.3948339146,4.8948339146,1.8948339146,0.6197718631,0.4032258065,-0.0654717246,0.0424740550,-0.1056384268,0.1053356565,1,5,1,1,0.4046620539,0.5953379461,20000.0000000000,12269.9386503067
8119,2025-04-15,2025,STATUS_FINAL,17,18,Minnesota Twins,New York Mets,6.0000000000,3.0000000000,3.0000000000,1,1,1,0,2,1.5000000000,-174,1.5747126437,0,-1.5000000000,158,2.5800000000,1,1,0.5263299680,0.4736700320,3.5299366996,5.0299366996,2.0299366996,0.6350364964,0.3875968992,-0.1087065283,0.0860731327,-0.1711815446,0.2220686825,2,3,1,1,0.3942508152,0.6057491848,20000.0000000000,11494.2528735632
8652,2025-04-17,2025,STATUS_FINAL,7,25,Cincinnati Reds,Seattle Mariners,7.0000000000,11.0000000000,4.0000000000,0,1,1,0,1,-1.5000000000,154,2.5400000000,1,1.5000000000,-170,1.5882352941,0,0,0.4704291403,0.5295708597,3.5767107559,2.0767107559,5.0767107559,0.3937007874,0.6296296296,0.0767283529,-0.1000587699,0.1948900164,-0.1589168699,4,4,0,0,0.6261987932,0.3738012068,20000.0000000000,11764.7058823529
8651,2025-04-17,2025,STATUS_FINAL,27,19,Tampa Bay Rays,New York Yankees,3.0000000000,6.0000000000,3.0000000000,0,1,1,0,3,1.5000000000,-190,1.5263157895,0,-1.5000000000,154,2.5400000000,1,0,0.4986925006,0.5013074994,3.4374846226,4.9374846226,1.9374846226,0.6551724138,0.3937007874,-0.1564799132,0.1076067120,-0.2388377622,0.2733210485,3,3,0,1,0.4013768353,0.5986231647,20000.0000000000,-20000.0000000000
8655,2025-04-17,2025,STATUS_FINAL,22,30,Pittsburgh Pirates,Washington Nationals,1.0000000000,0.0000000000,1.0000000000,1,1,1,1,0,-1.5000000000,166,2.6600000000,1,1.5000000000,-183,1.5464480874,0,1,0.5096788472,0.4903211528,3.5096381129,2.0096381129,5.0096381129,0.3759398496,0.6466431095,0.1337389976,-0.1563219568,0.3557457336,-0.2417437911,5,4,0,0,0.6173822590,0.3826177410,20000.0000000000,10928.9617486339
8901,2025-04-18,2025,STATUS_FINAL,3,7,Baltimore Orioles,Cincinnati Reds,3.0000000000,8.0000000000,5.0000000000,0,1,1,2,0,-1.5000000000,132,2.3200000000,1,1.5000000000,-162,1.6172839506,0,1,0.5208197704,0.4791802296,3.7590636398,2.2590636398,5.2590636398,0.4310344828,0.6183206107,0.0897852876,-0.1391403811,0.2083018673,-0.2250295052,3,4,0,0,0.5928731080,0.4071268920,20000.0000000000,12345.6790123457
8912,2025-04-18,2025,STATUS_FINAL,11,23,Houston Astros,San Diego Padres,6.0000000000,4.0000000000,2.0000000000,1,2,2,0,1,-1.5000000000,143,2.4300000000,1,1.5000000000,-165,1.6060606061,0,1,0.5217637423,0.4782362577,3.6745736627,2.1745736627,5.1745736627,0.4115226337,0.6226415094,0.1102411086,-0.1444052517,0.2678858938,-0.2319235861,2,6,1,0,0.6066687292,0.3933312708,20000.0000000000,-20000.0000000000
9285,2025-04-19,2025,STATUS_FINAL,27,19,Tampa Bay Rays,New York Yankees,10.0000000000,8.0000000000,2.0000000000,1,1,1,0,5,-1.5000000000,159,2.5900000000,1,1.5000000000,-175,1.5714285714,0,1,0.5030613346,0.4969386654,3.2644159561,1.7644159561,4.7644159561,0.3861003861,0.6363636364,0.1169609485,-0.1394249710,0.3029288567,-0.2190963830,4,3,1,0,0.6284459679,0.3715540321,20000.0000000000,-20000.0000000000
9291,2025-04-19,2025,STATUS_FINAL,11,23,Houston Astros,San Diego Padres,3.0000000000,2.0000000000,1.0000000000,1,1,1,1,0,1.5000000000,-167,1.5988023952,0,-1.5000000000,152,2.5200000000,1,1,0.5255753806,0.4744246194,3.6808320833,5.1808320833,2.1808320833,0.6254681648,0.3968253968,-0.0998927842,0.0775992226,-0.1597088227,0.1955500409,3,6,1,1,0.4033867101,0.5966132899,20000.0000000000,11976.0479041916
9463,2025-04-20,2025,STATUS_FINAL,10,12,Detroit Tigers,Kansas City Royals,3.0000000000,4.0000000000,1.0000000000,0,1,1,3,0,-1.5000000000,117,2.1700000000,1,1.5000000000,-141,1.7092198582,0,1,0.5107561260,0.4892438740,3.1574454536,1.6574454536,4.6574454536,0.4608294931,0.5850622407,0.0499266329,-0.0958183667,0.1083407934,-0.1637746551,4,1,0,0,0.5922398547,0.4077601453,20000.0000000000,14184.3971631206
9468,2025-04-20,2025,STATUS_FINAL,18,26,New York Mets,St. Louis Cardinals,7.0000000000,4.0000000000,3.0000000000,1,1,1,3,0,-1.5000000000,163,2.6300000000,1,1.5000000000,-180,1.5555555556,0,0,0.4997711679,0.5002288321,3.6243728290,2.1243728290,5.1243728290,0.3802281369,0.6428571429,0.1195430311,-0.1426283108,0.3143981717,-0.2218662612,2,4,1,0,0.6139318875,0.3860681125,20000.0000000000,-20000.0000000000
